;Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
5833;FR;Tarn;FR12026;43.928056,2.146111;PM10;EEA France;µg/m³;14.9;2021-08-06T10:00:00+02:00;France
5834;FR;Corrèze;FR35004;45.1587617596,1.53722406364;NO2;EEA France;µg/m³;4.5;2021-08-06T10:00:00+02:00;France
5835;FR;Indre-et-Loire;FR34024;47.3441490981,0.653775897477;O3;EEA France;µg/m³;45.3;2021-08-06T10:00:00+02:00;France
5836;FR;Eure-et-Loir;FR34041;48.4444108249,1.51014884098;PM2.5;EEA France;µg/m³;2.5;2021-08-06T10:00:00+02:00;France
5837;FR;Cher;FR34030;47.075033128,2.40717953424;NO2;EEA France;µg/m³;4.1;2021-08-06T10:00:00+02:00;France
5838;FR;Paris;FR04329;48.8386033566,2.41278502162;NO2;EEA France;µg/m³;34.9;2021-08-06T10:00:00+02:00;France
5839;FR;Paris;FR04131;48.8733329995,2.330278;PM10;EEA France;µg/m³;21.1;2021-08-06T09:00:00+02:00;France
5840;FR;Val-de-Marne;FR04099;48.840554461,2.48444363183;PM10;EEA France;µg/m³;14.7;2021-08-06T10:00:00+02:00;France
5841;FR;Aube;FR14033;48.294979695,4.05027903727;O3;EEA France;µg/m³;46.9;2021-08-06T04:00:00+02:00;France
5842;FR;Aube;FR14033;48.294979695,4.05027903727;PM2.5;EEA France;µg/m³;3.8;2021-08-06T09:00:00+02:00;France
5843;FR;Landes;FR31026;43.8383470414,-0.810832850176;SO2;EEA France;µg/m³;12.7;2021-08-06T04:00:00+02:00;France
5844;FR;Finistère;FR19012;48.3863972227,-4.48681534959;PM2.5;EEA France;µg/m³;2.1;2021-08-06T09:00:00+02:00;France
5845;FR;Calvados;FR21016;49.175249194,-0.35361103181;PM10;EEA France;µg/m³;7.0;2021-08-06T00:00:00+02:00;France
5846;FR;Mayenne;FR23123;48.0694102185,-0.767692156971;NO2;EEA France;µg/m³;1.1;2021-08-06T04:00:00+02:00;France
5847;FR;Morbihan;FR19033;47.6488890662,-2.76389155041;O3;EEA France;µg/m³;58.4;2021-08-06T04:00:00+02:00;France
5848;IE;Mayo;IE0118A;53.851111,-9.299722;NO2;EEA Ireland;µg/m³;2.22;2021-08-06T13:00:00+02:00;Ireland
5849;IE;Wexford;IE001DM;52.4985,-6.57075;PM2.5;EEA Ireland;µg/m³;3.34;2021-08-06T13:00:00+02:00;Ireland
5850;IE;Fingal;IE0131A;53.385636,-6.369934;NO2;EEA Ireland;µg/m³;24.95;2021-08-06T13:00:00+02:00;Ireland
5851;IS;Reykjavík;Portable Farstöð 2;64.145,-21.774;NO2;Umhverfisstofnun;µg/m³;9.05661;2021-08-06T14:00:00+02:00;Iceland
5852;LU;Luxemburg;LU0102A;49.5050399995,5.97694;PM10;EEA Luxemburg;µg/m³;13.0;2021-08-06T13:00:00+02:00;Luxembourg
5855;MK;Ilinden Municipality;MK0045A;41.9874399995,21.6525;O3;EEA Macedonia;µg/m³;75.0;2021-08-06T02:00:00+02:00;Macedonia, The former Yugoslav Rep. of
5856;MK;Ilinden Municipality;MK0045A;41.9874399995,21.6525;CO;EEA Macedonia;µg/m³;869.99304;2021-08-06T02:00:00+02:00;Macedonia, The former Yugoslav Rep. of
5857;MK;Kicevo Municipality;MK0035A;41.5144499995,20.95862;CO;EEA Macedonia;µg/m³;170.52232;2021-08-06T02:00:00+02:00;Macedonia, The former Yugoslav Rep. of
5858;MK;Kocani Municipality;MK0034A;41.9138899995,22.41585;O3;EEA Macedonia;µg/m³;71.8;2021-08-06T02:00:00+02:00;Macedonia, The former Yugoslav Rep. of
5859;MK;Veles Municipality;MK0040A;41.7058299995,21.76529;SO2;EEA Macedonia;µg/m³;1.596;2021-08-06T02:00:00+02:00;Macedonia, The former Yugoslav Rep. of
5860;NL;Wekerom;Wekerom-Riemterdijk;52.1116,5.70842;PM2.5;Netherlands;µg/m³;5.84428;2021-08-06T04:00:00+02:00;Netherlands
5861;NL;Groningen;Groningen-Europaweg;53.2178,6.5789;NO2;Netherlands;µg/m³;10.45;2021-08-06T04:00:00+02:00;Netherlands
5862;NL;Breukelen;Breukelen-Snelweg;52.2015,4.98744;NO2;Netherlands;µg/m³;4.77;2021-08-06T04:00:00+02:00;Netherlands
5863;NL;Eindhoven;Eindhoven-Noordbrabantlaan;51.4442,5.44483;NO2;Netherlands;µg/m³;2.95;2021-08-06T04:00:00+02:00;Netherlands
5864;NL;Rotterdam;Rotterdam-Bentinckplein;51.9271,4.46134;NO2;Netherlands;µg/m³;7.76;2021-08-06T04:00:00+02:00;Netherlands
5866;NL;Kollumerwaard;Kollumerwaard-Hooge Zuidwal;53.3304,6.27681;SO2;Netherlands;µg/m³;0.23;2021-08-06T04:00:00+02:00;Netherlands
5867;RS;Severnobanatski upravni okrug;RS0034A;45.821483,20.454008;O3;EEA Servia;µg/m³;99.53055;2021-08-06T14:00:00+02:00;Serbia
5868;RS;Južnobački upravni okrug;RS0029A;45.245065,19.84119;PM2.5;EEA Servia;µg/m³;3.63133;2021-08-06T14:00:00+02:00;Serbia
5869;RS;Podunavski upravni okrug;RS0039A;44.652336,20.931675;CO;EEA Servia;µg/m³;28.54;2021-08-06T14:00:00+02:00;Serbia
5870;SE;Skåne;SE0058A;55.5838899995,13.00806;PM2.5;EEA Sweden;µg/m³;10.3;2021-08-06T13:00:00+02:00;Sweden
5871;ES;Alicante/Alacant;ES1968A;38.3511111095,-0.51388888;NO2;EEA Spain;µg/m³;46.0;2021-08-06T11:00:00+02:00;Spain
5872;ES;Asturias;ES1974A;43.5165879995,-5.67065;SO2;EEA Spain;µg/m³;9.0;2021-08-06T03:00:00+02:00;Spain
