;Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
7056;CN;北京市;延庆石河营;40.4563,115.986;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
7115;CN;辽源市;环保局;42.8845,125.1358;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
7232;NL;Hoek v. Holland;Hoek v. Holland-Berghaven;51.9778,4.12194;SO2;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
7233;NL;Hoek v. Holland;Hoek v. Holland-Berghaven;51.9778,4.12194;PM2.5;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
7235;NL;Rotterdam Noord;Rotterdam Noord -Statenweg;;NO2;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
7236;PE;Lima;SAN MARTIN DE PORRES;-12.008889,-77.084472;CO;Senamhi;µg/m³;797.24;2021-08-06T13:00:00+02:00;Peru
7313;CN;张家口市;世纪豪园;40.762,114.8902;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
7321;CN;永州市;冷水滩区环保局;26.4519,111.5989;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
7328;CN;西宁市;世纪职校;36.5786,101.8305;CO;ChinaAQIData;µg/m³;1400.0;2021-08-06T13:00:00+02:00;China
7545;NL;Hoek v. Holland;Hoek v. Holland-Berghaven;51.9778,4.12194;O3;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
7550;NL;Maassluis;Maassluis-Kwartellaan;51.932,4.22802;PM10;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
7554;RS;Južnobanatski upravni okrug;RS0035A;44.862975,20.64429;CO;EEA Servia;µg/m³;1045.05;2021-08-06T14:00:00+02:00;Serbia
7577;CN;泸州市;市环监站;28.8833,105.4379;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
7585;CN;重庆市;歇台子;29.5346,106.4958;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
7652;BG;Кърджали;BG0018A;41.636078,25.379683;CO;EEA Bulgaria;µg/m³;880.0;2021-08-06T12:00:00+02:00;Bulgaria
7662;CL;Santiago;Parque O'Higgins;-33.464142,-70.660797;CO;Chile - SINCA;µg/m³;2530.01;2021-08-06T14:00:00+02:00;Chile
7727;CN;阳江市;阳东陶然;21.8749,112.0125;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
7755;NL;Wijnandsrade;Wijnandsrade-Opfergeltstraat;50.9023,5.88175;NO2;Netherlands;µg/m³;-998.0;2021-08-06T04:00:00+02:00;Netherlands
7788;CN;宁德市;宁德市监测站;26.6612,119.5388;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
7871;CN;张家界市;未央路;29.3547,110.5594;CO;ChinaAQIData;µg/m³;1100.0;2021-08-06T13:00:00+02:00;China
7906;CN;包头市;东河鸿龙湾;40.5546,110.0377;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
8011;NL;Botlek;Botlek-Spoortunnel;51.8701,4.31806;NO2;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
8014;NL;Schiedam;Schiedam-Alphons Arienstraat;51.9214,4.40139;O3;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
8033;GR;ΑΤΤΙΚΗ;GR0032A;37.99945831,23.73304749;CO;EEA Greece;µg/m³;1700.0;2021-08-06T11:00:00+02:00;Greece
